start,end,keyDownNormal,keyDownDel,keyDownCtrl,keyDownNav,state
1371377655903,1371377656403,0,0,0,0,H2
1371377656403,1371377656903,0,0,0,0,H2
1371377656903,1371377657403,0,0,0,0,H2
1371377657403,1371377657903,0,0,0,0,H2
1371377657903,1371377658403,0,0,0,0,H2
1371377658403,1371377658903,0,1,0,0,H4
1371377658903,1371377659403,0,2,0,0,H4
1371377659403,1371377659903,0,6,0,0,H4
1371377659903,1371377660403,0,6,0,0,H4
1371377660403,1371377660903,0,3,0,0,H4
1371377660903,1371377661403,0,2,0,0,H4
1371377661403,1371377661903,0,6,0,0,H4
1371377661903,1371377662403,0,6,0,0,H4
1371377662403,1371377662903,0,6,0,0,H4
1371377662903,1371377663403,0,6,0,0,H4
1371377663403,1371377663903,0,6,0,0,H4
1371377663903,1371377664403,0,6,0,0,H4
1371377664403,1371377664903,0,3,0,0,H4
1371377664903,1371377665403,0,3,0,0,H4
1371377665403,1371377665903,0,3,0,0,H4
1371377665903,1371377666403,0,0,0,0,H2
1371377666403,1371377666903,0,0,0,0,H2
1371377666903,1371377667403,0,0,0,0,H2
1371377667403,1371377667903,0,0,0,0,H2
1371377667903,1371377668403,0,0,0,0,H2
1371377668403,1371377668903,0,0,0,0,H2
1371377668903,1371377669403,0,0,0,0,H2
1371377669403,1371377669903,2,0,0,0,H3
1371377669903,1371377670403,5,0,0,0,H3
1371377670403,1371377670903,3,0,0,0,H3
1371377670903,1371377671403,1,0,0,0,H3
1371377671403,1371377671903,2,0,0,0,H3
1371377671903,1371377672403,0,0,0,0,H2
1371377672403,1371377672903,1,0,0,0,H3
1371377672903,1371377673403,4,0,0,0,H3
1371377673403,1371377673903,0,1,0,0,H4
1371377673903,1371377674403,4,0,0,0,H3
1371377674403,1371377674903,2,0,0,0,H3
1371377674903,1371377675403,0,0,0,0,H2
1371377675403,1371377675903,0,0,0,0,H2
1371377675903,1371377676403,0,0,0,0,H2
1371377676403,1371377676903,1,0,0,0,H3
1371377676903,1371377677403,3,0,0,0,H3
1371377677403,1371377677903,3,0,0,0,H3
1371377677903,1371377678403,6,0,0,0,H3
1371377678403,1371377678903,5,0,0,0,H3
1371377678903,1371377679403,3,0,0,0,H3
1371377679403,1371377679903,0,0,0,0,H2
1371377679903,1371377680403,1,1,0,0,H4
1371377680403,1371377680903,5,0,0,0,H3
1371377680903,1371377681403,5,0,0,0,H3
1371377681403,1371377681903,1,0,0,0,H3
1371377681903,1371377682403,0,0,0,0,H2
1371377682403,1371377682903,2,0,0,0,H3
1371377682903,1371377683403,0,0,0,0,H2
1371377683403,1371377683903,0,1,0,0,H4
1371377683903,1371377684403,0,6,0,0,H4
1371377684403,1371377684903,0,6,0,0,H4
1371377684903,1371377685403,0,6,0,0,H4
1371377685403,1371377685903,0,6,0,0,H4
1371377685903,1371377686403,0,6,0,0,H4
1371377686403,1371377686903,0,2,0,0,H4
1371377686903,1371377687403,0,1,0,0,H4
1371377687403,1371377687903,0,2,0,0,H4
1371377687903,1371377688403,0,6,0,0,H4
1371377688403,1371377688903,0,6,0,0,H4
1371377688903,1371377689403,0,6,0,0,H4
1371377689403,1371377689903,0,1,0,0,H4
1371377689903,1371377690403,0,1,0,0,H4
1371377690403,1371377690903,0,0,0,0,H2
1371377690903,1371377691403,0,0,0,0,H2
1371377691403,1371377691903,0,0,0,0,H2
1371377691903,1371377692403,0,0,0,0,H2
1371377692403,1371377692903,0,0,0,0,H2
1371377692903,1371377693403,0,0,0,0,H2
1371377693403,1371377693903,0,0,0,0,H2
1371377693903,1371377694403,0,0,0,0,H2
1371377694403,1371377694903,0,0,0,0,H2
1371377694903,1371377695403,1,0,0,0,H3
1371377695403,1371377695903,3,0,0,0,H3
1371377695903,1371377696403,0,0,0,0,H2
1371377696403,1371377696903,0,0,0,0,H2
1371377696903,1371377697403,2,0,0,0,H3
1371377697403,1371377697903,1,0,0,0,H3
1371377697903,1371377698403,0,3,0,0,H4
1371377698403,1371377698903,0,0,0,0,H2
1371377698903,1371377699403,1,0,0,0,H3
1371377699403,1371377699903,0,0,0,0,H2
1371377699903,1371377700403,0,0,0,0,H2
1371377700403,1371377700903,0,0,0,0,H2
1371377700903,1371377701403,0,0,0,0,H2
1371377701403,1371377701903,0,0,0,0,H2
1371377701903,1371377702403,1,0,0,0,H3
1371377702403,1371377702903,1,0,0,0,H3
1371377702903,1371377703403,0,3,0,0,H4
1371377703403,1371377703903,0,1,0,0,H4
1371377703903,1371377704403,0,2,0,0,H4
1371377704403,1371377704903,0,0,0,0,H2
1371377704903,1371377705403,0,0,0,0,H2
1371377705403,1371377705903,1,0,0,0,H3
